ID,COORDS_X,COORDS_Y,AGE,BEDROOMS,HOUSESIZE,LOTSIZE,NEWHOME,DFLOOD100,DFLOOD500,PROXAMEN,DISTAMEN,DISTCBD,DISTHWY,DISTPARK,RESID,AGEnorm,HOUSESIZEnorm,LOTSIZEnorm,BEDROOMSnorm,RESIDnorm,PRICE
2615,2705215.10145103,373350.228899645,51,3,992,0.358,1,0,1,6917.232,1529.389,22358.999,130.198,21052.295,-0.340050907220824,0.816849816849817,0.140540540540541,0.472193094469953,0.1,0.703201879789762,79800
2616,2703579.13297594,373294.872389574,6,2,1120,0.459,1,0,1,7534.974,911.647,20997.681,1386.98,20218.233,-0.65573605855483,0.981684981684982,0.162162162162162,0.499668042893436,0.0666666666666667,0.658504824657244,52300
2618,2705554.58952996,373278.885716856,1,2,1568,0.557,1,0,1,6926.327,1520.294,22600.269,415.517,21166.29,-0.232689602700171,1,0.237837837837838,0.521062195727023,0.0666666666666667,0.718402892973247,102500
2620,2703491.6743318,373246.476719882,20,3,1131,0.456,0,0,1,7632.946,813.675,20899.01,1486.219,20136.007,-0.685109670676838,0.93040293040293,0.16402027027027,0.498943086131307,0.1,0.654345889861259,54800
2621,2705883.451556,373137.718711644,3,3,1890,2.09,1,0,0,6985.199,1461.422,22789.262,664.372,21177.188,-0.41594871166969,0.992673992673993,0.29222972972973,0.667255728305077,0.1,0.692455703304892,104700
2624,2703401.09339051,373196.340924464,17,3,1716,0.486,1,0,0,7735.708,710.913,20796.881,1588.923,20051.009,-0.807311977578699,0.941391941391941,0.262837837837838,0.505987220490439,0.1,0.637043577016224,65300
2625,2705274.36992266,373213.363359203,53,3,1488,0.468,1,0,1,7041.63,1404.991,22330.861,130.972,20964.736,-0.355549657493801,0.80952380952381,0.224324324324324,0.501814819279997,0.1,0.701007451282406,120200
2628,2703700.2215837,372554.845723068,44,2,2956,2.41,1,0,0,7744.294,702.327,20973.549,1274.512,19905.373,-0.939739852718438,0.842490842490843,0.472297297297297,0.683005762727444,0.0666666666666667,0.618293452054089,123400
2629,2703772.82114741,373094.278551392,19,3,1344,1,1,0,1,7537.493,909.128,21034.894,1290.666,20128.657,-0.832319242671593,0.934065934065934,0.2,0.585758178984001,0.1,0.633502862155714,57700
2630,2705027.42087611,373141.380687706,54,2,1968,0.479,1,0,1,7156.311,1290.31,22086.245,124.963,20777.307,-0.412710787956423,0.805860805860806,0.305405405405405,0.50438327822174,0.0666666666666667,0.692914152662156,152400
2631,2705576.58935541,373084.305071847,6,3,1344,1.01,1,0,1,7112.747,1333.874,22510.926,361.966,21012.131,-0.397760361785741,0.981684981684982,0.2,0.586858242886861,0.1,0.695030945358872,83000
2632,2705331.74068126,373081.490276139,56,3,1244,0.863,1,0,1,7161.471,1285.15,22304.083,133.062,20880.763,-0.373590334462973,0.798534798534799,0.183108108108108,0.569468865134496,0.1,0.698453117859653,103200
2637,2702976.5429782,373001.261949506,17,3,2883,1.287,1,0,0,8197.487,249.134,20345.794,2050.671,19693.613,-0.896147262862029,0.941391941391941,0.459966216216216,0.613652874060283,0.1,0.624465615628927,104300
2638,2703601.23957157,373002.609726917,10,3,1742,0.95,1,0,1,7724.276,722.345,20841.88,1485.165,19968.306,-0.839848650429482,0.967032967032967,0.26722972972973,0.580087422659693,0.1,0.632436792521943,70400
2639,2704881.02937629,372843.537251365,64,3,1476,6.16,1,0,1,7483.72,962.901,21791.206,379.529,20438.304,-0.55267462946562,0.769230769230769,0.222297297297297,0.786756584476262,0.1,0.673097029449171,116300
2640,2704459.90998626,372796.084045871,28,2,2190,3.39,1,0,0,7586.087,860.534,21435.96,769.445,20208.309,-0.692406152188438,0.901098901098901,0.342905405405405,0.720727653655141,0.0666666666666667,0.653312799660408,109000
2644,2703760.72132035,372903.390961921,1,3,1596,0.453,1,0,1,7664.194,782.427,20929.389,1363.374,19968.571,-1.25834474809277,1,0.242567567567568,0.498213344141394,0.1,0.573182997812389,35000
2645,2703865.2671897,372847.394215166,4,3,3332,0.514,1,0,0,7636.64,809.981,20969.191,1309.327,19970.852,-0.933042154556332,0.989010989010989,0.535810810810811,0.512179947759037,0.1,0.619241762048232,103800
2646,2705396.28174377,372933.277999231,53,2,960,0.656,1,0,1,7294.322,1152.299,22277.349,137.822,20789.394,-0.425188722081144,0.80952380952381,0.135135135135135,0.539148585094145,0.0666666666666667,0.691147433805866,74400
2647,2703022.89616758,372885.96470832,18,3,2324,0.962,1,1,0,8211.292,235.329,20316.847,2052.69,19615.013,-0.940665637276472,0.937728937728938,0.365540540540541,0.581475166948852,0.1,0.61816237258058,88600
2650,2711360.50282228,372792.172605394,41,4,2059,2.43,1,0,0,6853.739,1592.882,27330.519,278.421,22552.34,-0.0359052536419873,0.853479853479854,0.320777027027027,0.683919449829397,0.133333333333333,0.746265086877211,205000
