ID,COORDS_X,COORDS_Y,AGE,HOUSESIZE,LOTSIZE,BEDROOMS,DFLOOD100,RESID,AGEnorm,HOUSESIZEnorm,LOTSIZEnorm,BEDROOMSnorm,RESIDnorm,PRICE_KRIGING
17942,2487242.5141957477,675531.8384836782,37.0,1299.0,0.26,3.0,0.0,0.300342663065134,0.7299270072992701,0.0982835902481688,0.3748455469390765,0.25,0.8004183890607884,89033.91219723971
17944,2487434.58813824,674756.7680447276,46.0,1241.0,0.26,3.0,0.0,0.27525481094147075,0.6642335766423357,0.09194271345796436,0.3748455469390765,0.25,0.7756347062522091,74077.88082592766
17946,2477452.6742646294,675937.2858530233,52.0,1100.0,0.21,2.0,0.0,0.01033024950194239,0.6204379562043796,0.07652782333005356,0.3436335075257613,0.125,0.5139221345041362,43698.644087387016
17950,2480637.7622136725,682082.2270236678,77.0,2227.0,0.19,4.0,0.0,-0.445585839807638,0.43795620437956206,0.19973761889143982,0.32900716075083897,0.375,0.06353364811319004,50627.600058051576
17953,2485872.858301681,672922.0672820618,41.0,1910.0,0.56,3.0,0.0,0.018727742307792283,0.7007299270072993,0.16508144746911554,0.48697336596370305,0.25,0.5222178147027294,102825.7271185639
17955,2495984.618401299,673711.5388477705,36.0,3351.0,0.55,3.0,0.0,0.07606943318176995,0.7372262773722628,0.32261943806712584,0.4843401145388638,0.25,0.5788642853261684,220456.21470151944
17964,2486188.962000617,672876.2404025705,40.0,2006.0,0.39,3.0,0.0,0.024803239889678252,0.708029197080292,0.1755766918115229,0.4341008261013653,0.25,0.5282196519358072,109245.72264552364
17968,2486476.4446888273,680725.7108327631,72.0,1482.0,0.1,3.0,0.0,0.33181070908017496,0.4744525547445255,0.1182901497758828,0.23520567094077324,0.25,0.8315049112229207,68215.77135013926
17972,2489661.476529608,673898.398208209,42.0,1901.0,0.27,3.0,0.0,-0.003199807762719331,0.6934306569343065,0.16409751831201486,0.38036097508709704,0.25,0.5005561179166497,96171.27838292878
17973,2477757.1800700785,681091.6874648511,39.0,1865.0,0.34,3.0,0.0,-0.29498312303950947,0.7153284671532847,0.1601618016836121,0.414050048379471,0.25,0.21231043235495736,73443.93491464974
17974,2480555.914076735,680620.9502160721,62.0,794.0,0.25,2.0,0.0,-0.314861104971337,0.5474452554744526,0.043074231988630154,0.3691137730814312,0.125,0.1926734544006585,19405.09354848192
17983,2494477.951716519,670041.0526651306,34.0,2774.0,0.78,4.0,0.0,-0.006073222061282024,0.7518248175182481,0.2595386465507817,0.5353983949014807,0.375,0.4977175413736205,177343.08585541835
17992,2482240.3471092884,672902.9813678811,34.0,1602.0,0.3,3.0,0.0,0.023671872112570824,0.7518248175182481,0.131409205203892,0.39575851890317726,0.25,0.5271020010508505,89523.0798181951
17995,2477207.926466896,666340.0020881456,36.0,1382.0,0.25,3.0,0.0,0.15603261062096863,0.7372262773722628,0.10735760358587515,0.3691137730814312,0.25,0.6578579758282741,83621.77255109361
17999,2487778.8981900923,680603.3311094453,51.0,1375.0,0.21,3.0,0.0,0.28936671154699845,0.6277372262773723,0.10659232535257461,0.3436335075257613,0.25,0.7895755118145837,79051.02764154898
18005,2485165.576403755,681459.9637101402,72.0,1166.0,0.16,2.0,0.0,0.40245009192995873,0.4744525547445255,0.08374330381545862,0.3038927064003459,0.125,0.9012878503806157,54058.371763490286
