ID1,BATHROOM_1,AGE_1,TOT_SQ_F_1,TOTAL_AC_1,NEWHOME_1,POSTFIRM_1,DFLOOD_A_1,DFLOOD_X_1,FIRSTROW_1,PROXAMEN_1,DISTAMEN_1,DISTCBD1_1,DISTHWY_1,DISTPARK_1,PRICE
5829.0,1.0,54.0,1216.0,0.169,0.0,0.0,0.0,0.0,0,7535.668999999999,910.952,20542.376,3768.698,8466.129,118100.0
5830.0,2.0,25.0,2000.0,0.212,0.0,1.0,0.0,0.0,0,7324.369999999999,1122.251,22232.177,4373.863,9176.613,280000.0
5831.0,2.0,62.0,1260.0,0.197,0.0,0.0,0.0,0.0,0,7484.147999999999,962.473,20714.871,3802.638,8525.733,133100.0
5832.0,1.0,53.0,840.0,0.112,1.0,0.0,0.0,0.0,0,7828.207999999999,618.413,16991.095,3614.128,7770.027,80200.0
5834.0,1.0,94.0,1448.0,0.203,1.0,0.0,0.0,0.0,0,7806.789999999999,639.831,17227.59,3799.871,7734.071,169400.0
5835.0,1.0,84.0,1935.0,0.264,1.0,0.0,0.0,0.0,0,7873.665999999999,572.955,16941.487,3605.51,7736.733,256600.0
5836.0,1.5,23.0,1364.0,0.211,0.0,1.0,0.0,0.0,0,7292.237999999999,1154.383,21855.955,4186.042,9000.856,147700.0
5840.0,1.0,22.0,1254.0,0.183,1.0,1.0,0.0,0.0,0,7314.982999999999,1131.638,22332.015,4411.285,9243.467,121100.0
5841.0,1.0,26.0,544.0,0.223,0.0,1.0,0.0,0.0,0,7805.9529999999995,640.668,17278.306,3842.594,7723.467,66600.0
5842.0,1.0,59.0,1384.0,0.104,0.0,0.0,0.0,0.0,0,7782.091999999999,664.529,17150.926,3717.416,7776.846,143900.0
5843.0,2.0,59.0,924.0,0.114,0.0,0.0,0.0,0.0,0,7527.182999999999,919.438,20601.109,3788.506,8477.14,95700.0
5844.0,2.0,30.0,1940.0,0.68,1.0,0.0,1.0,0.0,1,8327.056999999999,119.564,28413.428,9086.08,11053.131,406300.0
5845.0,1.0,23.0,1216.0,0.183,1.0,1.0,0.0,0.0,0,7305.659,1140.962,22625.942,4583.683,9386.479,116000.0
5846.0,1.0,59.0,1316.0,0.361,0.0,0.0,1.0,0.0,0,8333.930999999999,112.69,28043.855,8860.373,11009.448,152100.0
5847.0,1.5,25.0,1600.0,0.144,0.0,1.0,0.0,0.0,0,7482.936,963.685,20829.927,3862.245,8534.754,186700.0
5848.0,1.0,103.0,842.0,0.336,0.0,0.0,0.0,0.0,0,7827.843999999999,618.777,17334.732,3905.996,7688.889,108300.0
5849.0,1.5,24.0,1352.0,0.211,0.0,1.0,0.0,0.0,0,7320.471,1126.15,21930.439,4242.991,9011.449,145600.0
5850.0,2.5,108.0,2256.0,0.58,1.0,0.0,0.0,0.0,0,8049.257999999999,397.363,16693.225,3536.035,7624.288,492400.0
5852.0,1.0,23.0,1176.0,0.2,1.0,1.0,0.0,0.0,0,7363.456999999999,1083.164,22473.62,4527.53,9272.615,112200.0
5854.0,2.0,24.0,1185.0,0.211,1.0,1.0,0.0,0.0,0,7347.561999999999,1099.059,22008.153,4301.008,9025.416,121100.0
5855.0,2.0,97.0,1526.0,0.101,0.0,0.0,0.0,0.0,0,7823.592999999999,623.028,17145.741,3742.294,7735.922,213900.0
5856.0,1.0,94.0,744.0,0.2,1.0,0.0,0.0,0.0,0,7792.552999999999,654.068,17462.304,3989.318,7702.891,85100.0
5857.0,2.0,25.0,1216.0,0.318,1.0,1.0,0.0,0.0,0,7407.190999999999,1039.43,22198.728,4428.778,9081.432,125300.0
5860.0,1.0,94.0,1166.0,0.155,1.0,0.0,0.0,0.0,0,7799.924999999999,646.696,17515.309,4034.541,7694.121,128600.0
5861.0,3.0,6.0,2657.0,0.144,1.0,1.0,0.0,0.0,0,7472.777999999999,973.843,20931.597,3901.935,8559.173,601500.0
5862.0,4.0,14.0,2432.0,0.441,0.0,1.0,0.0,0.0,0,8059.937999999999,386.683,16749.323,3589.18,7597.893,554800.0
5863.0,1.5,24.0,1136.0,0.235,1.0,1.0,0.0,0.0,0,7389.413999999999,1057.207,22094.007,4370.733,9036.443,112100.0
5864.0,1.0,49.0,988.0,0.218,0.0,0.0,1.0,0.0,0,8398.036,48.585,28156.395,8935.362,11012.723,120100.0
5865.0,1.0,103.0,1327.0,0.153,1.0,0.0,0.0,0.0,0,7806.1269999999995,640.494,17558.797,4071.893,7687.044,162500.0
5866.0,3.0,52.0,2040.0,0.336,1.0,0.0,1.0,0.0,1,8236.117999999999,210.503,16079.012,3190.79,7567.659,415900.0
5867.0,1.0,23.0,1254.0,0.183,1.0,1.0,0.0,0.0,0,7393.395999999999,1053.225,22322.278,4470.866,9167.138,121300.0
5868.0,1.0,103.0,1440.0,0.223,1.0,0.0,0.0,0.0,0,7794.259999999999,652.361,17633.609,4122.072,7697.98,181300.0
5869.0,1.0,94.0,1574.0,0.138,1.0,0.0,0.0,1.0,0,7871.709999999999,574.911,17139.684,3771.365,7688.511,181600.0
5870.0,1.5,22.0,1821.0,0.216,0.0,1.0,0.0,0.0,0,7404.469999999999,1042.151,22616.629,4654.554,9295.389,233600.0
5871.0,1.5,103.0,1390.0,0.288,1.0,0.0,0.0,0.0,0,8066.7029999999995,379.918,16796.223,3632.089,7578.334,190700.0
5872.0,1.0,74.0,816.0,0.229,1.0,0.0,0.0,0.0,0,7799.1759999999995,647.445,17776.062,4236.748,7693.302,81500.0
5874.0,2.0,7.0,2044.0,0.14,0.0,1.0,0.0,0.0,0,7521.360999999999,925.26,20936.743,3950.57,8514.217,337200.0
5875.0,2.5,13.0,2320.0,0.091,1.0,1.0,0.0,0.0,0,7796.725999999999,649.895,17843.526,4288.71,7696.784,420500.0
5876.0,1.5,24.0,2221.0,0.349,1.0,1.0,1.0,0.0,1,8315.073999999999,131.547,28488.771,9172.398,11015.818,506800.0
5877.0,1.0,40.0,1476.0,0.114,1.0,0.0,0.0,0.0,0,7794.878999999999,651.742,17888.503,4323.461,7699.648,150700.0
5878.0,1.0,64.0,1344.0,0.121,1.0,0.0,0.0,0.0,0,7791.2609999999995,655.36,17947.276,4358.663,7704.987,131900.0
5879.0,1.0,79.0,792.0,0.244,1.0,0.0,0.0,0.0,0,7795.389999999999,651.231,18017.519,4332.734,7707.185,81400.0
5880.0,2.0,94.0,1992.0,0.284,1.0,0.0,0.0,0.0,0,8073.6759999999995,372.945,16834.961,3668.718,7560.967,327200.0
5881.0,1.0,19.0,1020.0,0.162,1.0,1.0,0.0,0.0,0,7800.990999999999,645.63,18113.039,4295.338,7714.703,104200.0
5882.0,2.0,30.0,1920.0,0.293,1.0,0.0,0.0,0.0,0,7842.239999999999,604.381,18117.148,4332.258,7673.923,261200.0
5883.0,2.0,34.0,2112.0,0.114,1.0,0.0,0.0,0.0,0,7791.160999999999,655.46,18876.985,4011.506,7847.712,304500.0
5885.0,1.0,54.0,1363.0,0.355,1.0,0.0,0.0,0.0,0,7804.349999999999,642.271,19016.998,3988.23,7864.468,134000.0
5886.0,1.5,20.0,1446.0,0.193,1.0,1.0,0.0,0.0,0,7779.155999999999,667.465,19141.291,3934.902,7917.953,162600.0
5887.0,4.0,59.0,2236.0,0.812,1.0,0.0,0.0,0.0,0,7884.234999999999,562.386,18288.607,4300.805,7655.405,375000.0
5890.0,1.0,76.0,912.0,0.095,0.0,0.0,0.0,1.0,0,7915.594999999999,531.026,17133.832,3797.849,7645.374,91500.0
